+---------------------+------------------------+----------------+-----------+-----------------+----------------+----------------+--------------------+
|       ResNet50      |       layer name       | Neuron numbers |  MACs (M) |    Parameters   |  Input shape   |  Output shape  |       Kernel       |
| conv5_block2_1_conv |         Conv2D         |     25088      |   51.41   |     1049088     |  (7, 7, 2048)  |  (7, 7, 512)   |       (1, 1)       |
|  conv5_block2_1_bn  |   BatchNormalization   |     25088      |    0.05   |       2048      |  (7, 7, 512)   |  (7, 7, 512)   |         -          |
| conv5_block2_2_conv |         Conv2D         |     25088      |   115.63  |     2359808     |  (7, 7, 512)   |  (7, 7, 512)   |       (3, 3)       |
|  conv5_block2_2_bn  |   BatchNormalization   |     25088      |    0.05   |       2048      |  (7, 7, 512)   |  (7, 7, 512)   |         -          |
| conv5_block2_3_conv |         Conv2D         |     100352     |   51.48   |     1050624     |  (7, 7, 512)   |  (7, 7, 2048)  |       (1, 1)       |
|  conv5_block2_3_bn  |   BatchNormalization   |     100352     |    0.2    |       8192      |  (7, 7, 2048)  |  (7, 7, 2048)  |         -          |
| conv5_block3_1_conv |         Conv2D         |     25088      |   51.41   |     1049088     |  (7, 7, 2048)  |  (7, 7, 512)   |       (1, 1)       |
|  conv5_block3_1_bn  |   BatchNormalization   |     25088      |    0.05   |       2048      |  (7, 7, 512)   |  (7, 7, 512)   |         -          |
| conv5_block3_2_conv |         Conv2D         |     25088      |   115.63  |     2359808     |  (7, 7, 512)   |  (7, 7, 512)   |       (3, 3)       |
|  conv5_block3_2_bn  |   BatchNormalization   |     25088      |    0.05   |       2048      |  (7, 7, 512)   |  (7, 7, 512)   |         -          |
| conv5_block3_3_conv |         Conv2D         |     100352     |   51.48   |     1050624     |  (7, 7, 512)   |  (7, 7, 2048)  |       (1, 1)       |
|  conv5_block3_3_bn  |   BatchNormalization   |     100352     |    0.2    |       8192      |  (7, 7, 2048)  |  (7, 7, 2048)  |         -          |
|       avg_pool      | GlobalAveragePooling2D |      2048      |    0.1    |        0        |  (7, 7, 2048)  |    (2048,)     |        7.0         |
|     predictions     |         Dense          |      2048      |    2.05   |     2049000     |    (2048,)     |    (1000,)     |         -          |
|        Total        |           -            |    10.74 M     | 3889.84 M | 25.637/25.637 M |       -        |       -        |         -          |
+---------------------+------------------------+----------------+-----------+-----------------+----------------+----------------+--------------------+
